subject,site,condition_type,dark,stimulus,duration,eda_tonic_mean,eda_tonic_std,eda_tonic_max,eda_tonic_min,eda_tonic_median,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_min,eda_phasic_median,eda_phasic_auc,eda_scr,scr_peaks_rate,scr_recovery_rate,aware,bothered,granted,ddp_familiar,ddp_bothered,was_fixated,fixated_ratio,age,is_male,eng_speaking_freq,eng_understanding_freq,eng_proficiency,dark_first,hotel_first
3,flights,dark_travelProtection,1,travelProtection,9.2340,308.0776,2.7846,310.9697,301.9020,309.1946,4.2688,9.8401,23.1335,-4.5265,-1.2447,6.0006,0,0.1083,0.1083,1,100.0,0,1.0000,100.0000,1,0.7753,19,0,4,4,3,0,1
3,flights,dark_newsletter,1,newsletter,15.0000,282.8045,5.1581,291.1616,274.9400,282.6968,0.9663,1.9710,3.9415,-2.6667,1.3346,1.4534,1,0.0667,0.0667,1,100.0,1,1.0000,100.0000,1,0.3854,19,0,4,4,3,0,1
4,flights,dark_cookies,1,cookies,15.0000,350.0501,7.0959,359.3973,334.2280,350.6514,1.8049,13.3297,25.8138,-21.5236,4.5552,6.5047,1,0.1333,0.1333,1,100.0,1,1.0000,100.0000,1,0.9421,26,1,4,2,5,1,0
4,flights,dark_geolocation,1,geolocation,5.0999,401.6725,9.6306,418.4048,385.7063,401.4457,-8.9524,3.7635,2.2672,-12.1222,-10.7052,0.0453,0,0.0000,0.0000,1,100.0,0,1.0000,100.0000,1,0.8237,26,1,4,2,5,1,0
4,flights,dark_notification,1,notification,10.5500,332.6298,5.1170,338.3243,318.9843,333.8959,5.6865,13.1706,31.9801,-11.5065,0.9351,7.9976,1,0.0948,0.0948,1,100.0,0,1.0000,100.0000,1,0.5823,26,1,4,2,5,1,0
4,flights,dark_travelProtection,1,travelProtection,5.1470,327.5222,1.7799,331.6259,325.5970,326.9533,-7.1915,4.6270,2.0457,-14.3547,-5.7518,0.0565,0,0.0000,0.0000,1,100.0,0,1.0000,100.0000,1,0.9031,26,1,4,2,5,1,0
4,flights,dark_newsletter,1,newsletter,15.0000,342.8294,12.0304,366.6043,330.9987,336.9943,0.2073,16.5612,28.1211,-25.1008,-1.4679,6.7161,1,0.0667,0.0000,1,36.8,1,1.0000,100.0000,1,0.4199,26,1,4,2,5,1,0
4,hotels,fair_cookies,0,cookies,3.0479,357.2244,3.2864,363.2024,351.8376,357.0757,-1.7765,0.1602,-1.1868,-2.1387,-1.8182,0.0000,0,0.0000,0.0000,1,38.32,0,1.0000,100.0000,1,0.7725,26,1,4,2,5,1,0
4,hotels,fair_geolocation,0,geolocation,9.9190,341.5886,4.5353,351.8156,336.9329,340.1481,-0.6515,4.5152,7.8894,-9.6564,-2.1855,1.6385,1,0.1008,0.2016,1,73.42,0,1.0000,100.0000,0,0.0000,26,1,4,2,5,1,0
4,hotels,fair_notification,0,notification,15.0000,425.3413,33.7739,460.1227,354.1748,440.0229,5.5572,19.3253,35.5220,-31.6383,7.5083,11.4829,1,0.1333,0.1333,0,33.74,0,1.0000,100.0000,1,0.1833,26,1,4,2,5,1,0
4,hotels,fair_travelProtection,0,travelProtection,2.4680,379.0087,2.7596,383.9658,374.5357,378.8823,-23.6878,5.0322,-8.3929,-29.4146,-24.6090,0.0000,0,0.0000,0.0000,0,24.94,0,1.0000,100.0000,1,0.8914,26,1,4,2,5,1,0
4,hotels,fair_newsletter,0,newsletter,15.0000,357.9417,17.4927,388.6467,333.9119,356.3114,-1.9106,4.7046,4.1470,-14.7854,-0.6705,0.7061,1,0.0667,0.0000,0,35.39,1,1.0000,100.0000,1,0.5145,26,1,4,2,5,1,0
5,hotels,dark_cookies,1,cookies,12.4120,294.4430,4.8027,301.1171,287.2015,294.2605,1.3634,7.9821,22.0414,-7.8499,-0.7127,3.4035,1,0.1611,0.0806,1,70.6,1,1.0000,70.3050,1,0.7757,25,0,1,4,3,1,1
5,hotels,dark_geolocation,1,geolocation,4.9409,320.9717,1.1609,323.2700,319.1398,320.8570,0.8354,3.1283,5.6867,-4.0913,-0.0698,1.7802,0,0.2024,0.2024,0,56.16,0,1.0000,70.3050,1,0.6178,25,0,1,4,3,1,1
5,hotels,dark_notification,1,notification,4.6829,357.0887,0.8549,357.8334,354.9482,357.4929,8.6998,11.3156,27.3194,-7.6977,7.5709,9.9951,0,0.2135,0.2135,0,53.35,0,1.0000,49.5300,1,0.4520,25,0,1,4,3,1,1
5,hotels,dark_travelProtection,1,travelProtection,7.5288,414.1059,2.3637,418.0081,410.2277,413.9010,-5.2699,9.1926,11.1074,-19.1623,-4.2269,1.7280,0,0.0000,0.1328,0,36.8,0,1.0000,62.3800,1,0.3850,25,0,1,4,3,1,1
5,hotels,dark_newsletter,1,newsletter,15.0000,399.6218,3.1709,407.0350,395.9721,398.8270,-1.4584,7.2536,20.0619,-10.5555,-3.9896,2.2390,1,0.0667,0.0667,1,84.92,1,1.0000,80.1100,1,0.4546,25,0,1,4,3,1,1
5,flights,fair_cookies,0,cookies,4.3019,388.3419,0.9156,389.9285,386.7633,388.3408,-0.1343,1.0173,1.4944,-1.8878,0.0954,0.3483,0,0.0000,0.0000,0,42.9,0,1.0000,70.3050,1,0.7483,25,0,1,4,3,1,1
5,flights,fair_geolocation,0,geolocation,2.8920,385.7364,0.5870,386.7605,384.7239,385.7329,-1.5111,1.2870,0.7467,-2.8814,-2.3048,0.0970,0,0.0000,0.0000,0,12.85,0,1.0000,70.3050,0,0.0000,25,0,1,4,3,1,1
